Country or Area,Male Gross enrolment ratio in primary education,Female Gross enrolment ratio in primary education
Afghanistan,114,79
Albania,87,87
Algeria,113,107
American Samoa,110,112
Andorra,84,85
Angola,137,112
Anguilla,116,112
Antigua and Barbuda,106,97
Argentina,118,117
Armenia,101,104
Aruba,116,112
Australia,105,105
Austria,100,99
Azerbaijan,94,93
Bahamas,113,115
Bahrain,103,97
Bangladesh,107,105
Barbados,119,122
Belarus,100,100
Belgium,105,104
Belize,127,116
Benin,135,117
Bhutan,110,112
Bolivia (Plurinational State of),105,104
Bonaire,116,112
Bosnia and Herzegovina,111,113
Botswana,112,108
Bouvet Island,116,112
Brazil,116,112
British Indian Ocean Territory,103,96
British Virgin Islands,116,112
Brunei Darussalam,107,109
Bulgaria,103,102
Burkina Faso,79,72
Burundi,157,155
Cambodia,130,124
Cameroon,129,111
Canada,99,98
Cape Verde,114,105
Cayman Islands,116,112
Central African Republic,109,78
Chad,107,78
Chile,108,103
China,110,113
Christmas Island,110,112
Cocos (Keeling) Islands,110,112
Colombia,116,114
Comoros,109,100
Congo,118,112
Cook Islands,107,110
Costa Rica,110,109
Croatia,93,93
Cuba,104,102
Curaçao,116,112
Cyprus,106,105
Czech Republic,106,106
Côte d'Ivoire,96,80
Democratic People's Republic of Korea,110,112
Democratic Republic of the Congo,100,87
Denmark,99,99
Djibouti,62,56
Dominica,113,111
Dominican Republic,115,102
Ecuador,114,115
Egypt,103,98
El Salvador,117,111
Equatorial Guinea,88,85
Eritrea,48,41
Estonia,100,98
Ethiopia,106,97
Falkland Islands (Malvinas),116,112
Faroe Islands,100,99
Fiji,106,104
Finland,99,99
France,111,109
French Guiana,116,112
French Polynesia,110,112
French Southern Territories,103,96
Gabon,184,179
Gambia,82,84
Georgia,107,111
Germany,103,102
Ghana,107,107
Gibraltar,100,99
Greece,100,99
Grenada,103,103
Guadeloupe,116,112
Guam,110,112
Guatemala,119,114
Guernsey,100,99
Guinea,103,86
Guinea-Bissau,127,119
Guyana,83,86
Haiti,116,112
Heard Island and McDonald Islands,110,112
Holy See,100,99
Honduras,116,116
Hungary,102,101
Iceland,99,100
India,116,116
Indonesia,117,119
Iran (Islamic Republic of),114,115
Iraq,103,97
Ireland,108,108
Isle of Man,100,99
Israel,103,103
Italy,102,101
Jamaica,91,87
Japan,103,103
Jersey,100,99
Jordan,92,92
Kazakhstan,111,111
Kenya,115,112
Kiribati,111,115
Kuwait,104,107
Kyrgyzstan,100,99
Lao People's Democratic Republic,131,122
Latvia,101,100
Lebanon,106,103
Lesotho,104,102
Liberia,101,91
Libya,103,97
Liechtenstein,109,102
Lithuania,96,95
Luxembourg,99,100
Madagascar,150,147
Malawi,133,138
Malaysia,110,112
Maldives,111,107
Mali,86,75
Malta,101,101
Marshall Islands,102,101
Martinique,116,112
Mauritania,99,105
Mauritius,99,100
Mayotte,103,96
Mexico,115,113
Micronesia (Federated States of),110,112
Monaco,100,99
Mongolia,123,121
Montenegro,107,106
Montserrat,116,112
Morocco,115,108
Mozambique,121,109
Myanmar,126,126
Namibia,108,107
Nauru,90,96
Nepal,107,105
Netherlands,108,107
New Caledonia,110,112
New Zealand,101,101
Nicaragua,119,116
Niger,73,60
Nigeria,87,79
Niue,110,112
Norfolk Island,110,112
Northern Mariana Islands,110,112
Norway,99,99
Oman,107,104
Pakistan,104,85
Palau,110,112
Panama,109,106
Papua New Guinea,63,57
Paraguay,101,98
Peru,108,108
Philippines,107,105
Pitcairn,110,112
Poland,98,97
Portugal,116,112
Puerto Rico,116,112
Qatar,103,103
Republic of Korea,106,105
Republic of Moldova,94,93
Romania,96,95
Russian Federation,99,99
Rwanda,141,144
Réunion,103,96
Saint Barthélemy,116,112
Saint Helena,96,86
Saint Kitts and Nevis,93,94
Saint Lucia,96,92
Saint Martin (French Part),116,112
Saint Vincent and the Grenadines,109,101
Samoa,107,109
San Marino,89,101
Sao Tome and Principe,131,130
Sark,100,99
Saudi Arabia,106,106
Senegal,84,89
Serbia,96,96
Seychelles,117,117
Sierra Leone,129,120
Singapore,110,112
Sint Maarten (Dutch part),116,112
Slovakia,102,102
Slovenia,98,97
Solomon Islands,106,100
Somalia,103,96
South Africa,104,100
South Georgia and the South Sandwich Islands,116,112
South Sudan,103,96
Spain,106,105
Sri Lanka,99,99
State of Palestine,92,90
Sudan,106,100
Suriname,116,111
Svalbard and Jan Mayen Islands,100,99
Swaziland,121,111
Sweden,102,101
Switzerland,103,102
Syrian Arab Republic,119,116
Tajikistan,104,100
Thailand,91,90
The former Yugoslav Republic of Macedonia,89,91
Timor-Leste,119,115
Togo,147,132
Tokelau,110,112
Tonga,110,112
Trinidad and Tobago,107,103
Tunisia,111,107
Turkey,103,101
Turkmenistan,100,99
Turks and Caicos Islands,116,112
Tuvalu,106,100
Uganda,120,122
Ukraine,99,100
United Arab Emirates,103,97
United Kingdom,106,106
United Republic of Tanzania,101,103
United States,102,101
United States Minor Outlying Islands,110,112
United States Virgin Islands,116,112
Uruguay,115,111
Uzbekistan,95,93
Vanuatu,120,114
Venezuela (Bolivarian Republic of),104,101
Viet Nam,109,103
Wallis and Futuna Islands,110,112
Western Sahara,103,97
Yemen,96,78
Zambia,115,116
Zimbabwe,103,96
Åland Islands,100,99
